tick,x,y,heading,bearing,distance,forward_cmd,turn_cmd,yaw_rate,reward,seed
14,1.9836638859890172,-0.7388843159721308,-0.9029655456542969,-0.8356261253356934,8.537818788853004,0.2769586646854296,0.7222783865008491,-1.7058402299880981,0.22640917575016295,20000006
15,2.2403584844411597,-0.7276433478468771,-0.9447668790817261,-0.82305508852005,8.595443969495332,0.26518279881133194,0.7343661707575704,-2.0900673866271973,-0.06762518064232757,20000006
16,2.0649238714547846,-0.7462762560871309,-1.0481327772140503,-0.6999801993370056,8.54448911416855,0.38876034615878063,0.6070892430450465,-5.1682939529418945,0.0409548553267809,20000006
17,2.0099234504494348,-1.0080740337009964,-1.1535489559173584,-0.5936023592948914,8.277098544027584,0.455471320928119,0.5431522233367473,-5.270806789398193,0.2573905701409662,20000006
18,2.010797426107091,-1.4268590109265964,-1.261116623878479,-0.4954855144023895,7.86531362500192,0.4314500550505335,0.5681157856637877,-5.3783860206604,0.4017849190256644,20000006
19,2.231063650465878,-1.4477582057754201,-1.226549506187439,-0.5579873323440552,7.888543523678958,0.27414510275881876,0.7238890676867041,1.728353500366211,-0.03322989867703829,20000006
20,2.1843794435794535,-1.7408123359304175,-1.4696568250656128,-0.3170585334300995,7.59227355083971,0.8187120558164604,0.0568896394631358,-12.155364990234375,0.28626997283924793,20000006
21,2.214897909543452,-2.2041907134814105,-1.5123522281646729,-0.29242488741874695,7.14735909228702,0.8347964981578677,0.014643021261705413,-2.134765625,0.43491445855269073,20000006
22,2.095701261318166,-2.4978612241223264,-1.5671136379241943,-0.23066024482250214,6.834222412879566,0.36478905157838254,0.561528720508724,-2.7380757331848145,0.3031366794074539,20000006
23,2.3540736661515846,-2.5159991128327843,-1.5204459428787231,-0.3145236670970917,6.879450620934421,0.29733962961595894,0.700557964159761,2.3333864212036133,-0.05522820805485495,20000006
24,2.2134594551635267,-2.6856623585977726,-1.6737289428710938,-0.1475515216588974,6.679583094208328,0.9028065529026574,-0.04058282206292779,-7.664149284362793,0.1898675267260923,20000006
25,2.0602005679532933,-3.080810582252692,-1.742525339126587,-0.07068197429180145,6.258981671950842,0.8036003730543686,0.16904700230538977,-3.439817428588867,0.4106014222574863,20000006
26,1.9814175693946046,-3.3309197270920383,-1.7855397462844849,-0.024925826117396355,5.9972963733613245,0.32862392403696217,0.6530888452178565,-2.1507253646850586,0.2516852985895175,20000006
27,2.240400991155263,-3.3398846977336096,-1.7389123439788818,-0.11346369236707687,6.0553827906037085,0.4896702822707375,0.5042437266040856,2.33137583732605,-0.06808641724238405,20000006
28,2.078872200185089,-3.4599567934409197,-1.8905333280563354,0.05881588160991669,5.8964130270695065,0.9102522989999068,-0.07178544176879031,-7.581051826477051,0.148969763534202,20000006
29,1.8528822951572186,-3.725358049942684,-1.9635553359985352,0.15868258476257324,5.583707914587077,0.8665173008838796,0.08467063670393632,-3.6510987281799316,0.3027051124824298,20000006
30,1.7212676115749386,-4.0095042765883,-1.9348831176757812,0.1417819857597351,5.277148947057069,0.49475472226374756,0.4822472070551502,1.433610439300537,0.296558967530008,20000006
31,1.7995149745039727,-4.191007538327738,-1.9013583660125732,0.0855269730091095,5.118686252821851,0.8614804090414678,0.03611268201451151,1.6762347221374512,0.14846269423521785,20000006
32,1.7049808527266241,-4.482654905127701,-1.9975708723068237,0.18609434366226196,4.8128633098246105,0.9136415652307327,-0.08101103485477101,-4.810624599456787,0.2958229429972403,20000006
33,1.4578782248364217,-4.5685628226059105,-2.0816447734832764,0.31713104248046875,4.67568659250546,0.8700586388607371,0.008614584665417091,-4.203691482543945,0.12717671731915092,20000006
34,1.2079567975147463,-4.8934375527235,-2.0401298999786377,0.31799399852752686,4.312648543481376,0.757891988546142,0.2245390448668425,2.0757408142089844,0.35303804902408387,20000006
35,1.343843525559098,-5.0615600049293,-1.9236490726470947,0.16321112215518951,4.169992766208323,0.812191718351809,-0.09417211050097307,5.824042320251465,0.13265577727305256,20000006
36,1.2489826286808905,-5.492283525023175,-1.9871119260787964,0.22988276183605194,3.7291285791920084,0.7405664597211656,-0.2582121415789202,-3.1731438636779785,0.4308641870163148,20000006
37,1.0426414764030134,-5.505414844332218,-2.101443290710449,0.3986283242702484,3.6834302727768744,0.78983853004015,-0.021409705150741642,-5.716572284698486,0.03569830641513395,20000006
38,0.7698779281322959,-5.836380907131635,-2.03576922416687,0.40117982029914856,3.327179415709066,0.7434866911000474,0.23436977706583728,3.2837111949920654,0.34625085706780845,20000006
39,0.9305863859655498,-6.002893672823375,-1.903856873512268,0.21539875864982605,3.175857282425213,0.6698271268529795,-0.26454486342461714,6.595615386962891,0.1413221332838528,20000006
